onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
6.683	0.067	ISAC	1439.0	576.2	1439.6	649.3	0.938	39.484	10.457	15.927
6.750	0.167	FIXA	1439.6	649.3	1443.8	648.2	0.056	3.855	0.924	1.263
6.917	0.100	SACC	1446.0	648.2	1550.5	750.4	1.875	102.807	2.001	19.477
7.017	0.433	FIXA	1550.5	750.5	1545.3	744.6	0.101	6.696	1.256	1.744
7.450	0.050	SACC	1543.4	750.6	1525.1	883.4	1.720	74.085	29.478	36.136
7.500	0.233	FIXA	1525.1	883.4	1532.4	872.9	0.164	3.125	0.773	1.028
7.733	0.067	SACC	1532.2	870.6	1407.4	784.3	1.946	94.673	16.747	32.292
7.800	0.233	FIXA	1407.4	784.3	1408.3	785.4	0.018	4.079	1.732	1.942
8.033	0.100	SACC	1408.3	779.2	755.5	870.8	8.456	263.479	4.002	85.830
8.133	0.150	FIXA	747.2	872.1	741.8	871.1	0.070	7.956	1.078	2.336
8.283	0.117	SACC	741.1	869.8	1377.1	872.4	8.159	318.334	25.183	70.281
8.400	0.183	FIXA	1377.1	872.4	1379.7	875.7	0.054	4.156	1.385	1.415
8.583	0.050	SACC	1372.1	873.7	914.6	834.4	5.890	227.608	126.533	120.063
8.633	0.083	FIXA	914.6	830.8	907.2	828.6	0.099	5.101	1.377	1.850
8.717	0.100	SACC	917.4	828.6	1357.7	792.4	5.667	276.827	12.969	58.109
8.817	0.117	FIXA	1357.7	790.4	1366.4	790.2	0.112	7.105	2.232	2.691
8.933	0.050	ISAC	1369.2	788.1	1388.8	747.1	0.583	21.615	14.587	12.965
8.983	0.267	FIXA	1388.8	747.1	1384.8	735.5	0.157	4.583	0.693	1.186
9.250	0.033	SACC	1384.4	735.5	1265.1	753.2	1.547	92.826	46.567	46.567
9.283	0.183	FIXA	1265.1	753.2	1269.4	743.2	0.140	3.925	0.308	0.995
9.467	0.050	ISAC	1268.5	743.2	1295.2	813.5	0.965	57.879	0.693	19.524
9.517	0.483	FIXA	1295.2	813.5	1303.5	806.8	0.137	4.699	1.154	1.426
10.000	0.050	SACC	1303.5	811.3	1728.1	836.8	5.456	188.244	139.411	110.373
10.050	0.017	LPSO	1728.1	836.8	1728.1	836.8	0.000	0.000	0.000	0.000
10.067	0.117	FIXA	1745.5	832.5	1750.8	829.3	0.079	13.795	1.154	2.905
10.183	0.100	SACC	1740.0	829.3	1003.9	829.7	9.443	272.769	16.791	97.713
10.283	0.167	FIXA	1004.2	829.0	1006.4	830.4	0.033	4.338	1.913	1.933
10.450	0.100	SACC	1011.2	830.4	1615.5	910.3	7.819	269.213	24.367	79.265
10.550	0.117	FIXA	1619.1	912.2	1621.4	912.1	0.030	4.680	3.133	2.809
