subject_id,game_difficulty,world_number,time,score,experience,game_status
ED06RA,hard,16,74976.0,18259.0,2,timed_out
ED06RA,hard,17,65789.0,18259.0,2,won
ED06RA,hard,18,5378.0,18259.0,2,lost
ED06RA,hard,19,51446.0,18259.0,2,won
GE01IN,easy,0,30091.0,17516.0,1,won
GE01IN,easy,1,8050.0,17516.0,1,lost
GE01IN,easy,2,22396.0,17516.0,1,won
GE01IN,easy,3,32894.0,17516.0,1,won
GE01IN,easy,4,35359.0,17516.0,1,won
GE01IN,easy,5,18561.0,17516.0,1,won
GE01IN,easy,6,63706.0,17516.0,1,won
GE01IN,easy,7,39898.0,17516.0,1,won
GE01IN,easy,8,49367.0,17516.0,1,won
GE01IN,easy,9,30100.0,17516.0,1,won
GE01IN,easy,10,43760.0,17516.0,1,won
GE01IN,easy,11,13660.0,17516.0,1,won
GE01IN,easy,12,48301.0,17516.0,1,won
GE01IN,easy,13,12256.0,17516.0,1,lost
GE01IN,easy,14,39565.0,17516.0,1,won
GE01IN,easy,15,5236.0,17516.0,1,lost
GE01IN,easy,16,35692.0,17516.0,1,won
GE01IN,easy,17,6657.0,17516.0,1,lost
GE01IN,easy,18,16108.0,17516.0,1,lost
GE01IN,easy,19,32910.0,17516.0,1,won
GE01IN,normal,0,34663.0,17516.0,1,won
GE01IN,normal,1,5243.0,17516.0,1,lost
GE01IN,normal,2,46222.0,17516.0,1,won
GE01IN,normal,3,24857.0,17516.0,1,won
GE01IN,normal,4,27299.0,17516.0,1,won
GE01IN,normal,5,34298.0,17516.0,1,won
GE01IN,normal,6,25897.0,17516.0,1,won
GE01IN,normal,7,44106.0,17516.0,1,won
GE01IN,normal,8,39904.0,17516.0,1,won
GE01IN,normal,9,34656.0,17516.0,1,won
GE01IN,normal,10,63711.0,17516.0,1,won
GE01IN,normal,11,35012.0,17516.0,1,won
GE01IN,normal,12,74983.0,17516.0,1,timed_out
GE01IN,normal,13,74217.0,17516.0,1,won
GE01IN,normal,14,47249.0,17516.0,1,won
GE01IN,normal,15,44090.0,17516.0,1,won
GE01IN,normal,16,11188.0,17516.0,1,lost
GE01IN,normal,17,74975.0,17516.0,1,timed_out
GE01IN,normal,18,31512.0,17516.0,1,lost
GE01IN,normal,19,6995.0,17516.0,1,lost
GE01IN,hard,0,28338.0,17516.0,1,won
GE01IN,hard,1,42345.0,17516.0,1,won
GE01IN,hard,2,53915.0,17516.0,1,won
GE01IN,hard,3,6634.0,17516.0,1,lost
GE01IN,hard,4,5229.0,17516.0,1,lost
GE01IN,hard,5,46905.0,17516.0,1,lost
GE01IN,hard,6,32199.0,17516.0,1,won
GE01IN,hard,7,47590.0,17516.0,1,won
GE01IN,hard,8,65104.0,17516.0,1,won
GE01IN,hard,9,5198.0,17516.0,1,lost
GE01IN,hard,10,13308.0,17516.0,1,lost
GE01IN,hard,11,13654.0,17516.0,1,lost
GE01IN,hard,12,42706.0,17516.0,1,won
GE01IN,hard,13,11547.0,17516.0,1,lost
GE01IN,hard,14,43065.0,17516.0,1,lost
GE01IN,hard,15,7659.0,17516.0,1,lost
GE01IN,hard,16,13651.0,17516.0,1,lost
GE01IN,hard,17,7486.0,17516.0,1,lost
GE01IN,hard,18,11544.0,17516.0,1,lost
GE01IN,hard,19,10144.0,17516.0,1,lost
JA06LU,easy,0,36758.0,14278.0,1,won
JA06LU,easy,1,62672.0,14278.0,1,won
JA06LU,easy,2,40597.0,14278.0,1,won
JA06LU,easy,3,70350.0,14278.0,1,won
JA06LU,easy,4,48650.0,14278.0,1,won
JA06LU,easy,5,5249.0,14278.0,1,lost
JA06LU,easy,6,8749.0,14278.0,1,lost
JA06LU,easy,7,35363.0,14278.0,1,won
JA06LU,easy,8,64391.0,14278.0,1,won
JA06LU,easy,9,38515.0,14278.0,1,won
JA06LU,easy,10,25909.0,14278.0,1,won
JA06LU,easy,11,8047.0,14278.0,1,lost
JA06LU,easy,12,4196.0,14278.0,1,lost
JA06LU,easy,13,26946.0,14278.0,1,won
JA06LU,easy,14,4901.0,14278.0,1,lost
JA06LU,easy,15,16798.0,14278.0,1,lost
JA06LU,easy,16,35695.0,14278.0,1,won
JA06LU,easy,17,48307.0,14278.0,1,won
JA06LU,easy,18,74982.0,14278.0,1,timed_out
JA06LU,easy,19,47251.0,14278.0,1,won
JA06LU,normal,0,6230.0,14278.0,1,lost
JA06LU,normal,1,15747.0,14278.0,1,lost
JA06LU,normal,2,48999.0,14278.0,1,won
JA06LU,normal,3,43759.0,14278.0,1,won
JA06LU,normal,4,47269.0,14278.0,1,won
JA06LU,normal,5,20647.0,14278.0,1,lost
JA06LU,normal,6,15746.0,14278.0,1,lost
JA06LU,normal,7,33939.0,14278.0,1,won
JA06LU,normal,8,5206.0,14278.0,1,lost
JA06LU,normal,9,47261.0,14278.0,1,won
JA06LU,normal,10,66157.0,14278.0,1,won
JA06LU,normal,11,27316.0,14278.0,1,won
JA06LU,normal,12,11199.0,14278.0,1,lost
JA06LU,normal,13,5941.0,14278.0,1,lost
JA06LU,normal,14,46905.0,14278.0,1,won
JA06LU,normal,15,60581.0,14278.0,1,won
JA06LU,normal,16,39892.0,14278.0,1,won
JA06LU,normal,17,30445.0,14278.0,1,won
JA06LU,normal,18,18551.0,14278.0,1,lost
JA06LU,normal,19,30099.0,14278.0,1,lost
JA06LU,hard,0,21701.0,14278.0,1,lost
JA06LU,hard,1,74970.0,14278.0,1,timed_out
JA06LU,hard,2,13289.0,14278.0,1,lost
JA06LU,hard,3,20638.0,14278.0,1,lost
JA06LU,hard,4,68983.0,14278.0,1,won
JA06LU,hard,5,11192.0,14278.0,1,lost
JA06LU,hard,6,74976.0,14278.0,1,timed_out
JA06LU,hard,7,50411.0,14278.0,1,won
JA06LU,hard,8,53561.0,14278.0,1,won
JA06LU,hard,9,70012.0,14278.0,1,lost
JA06LU,hard,10,43762.0,14278.0,1,won
JA06LU,hard,11,28690.0,14278.0,1,won
JA06LU,hard,12,6291.0,14278.0,1,lost
JA06LU,hard,13,35689.0,14278.0,1,won
JA06LU,hard,14,66525.0,14278.0,1,won
JA06LU,hard,15,7351.0,14278.0,1,lost
JA06LU,hard,16,5214.0,14278.0,1,lost
JA06LU,hard,17,74970.0,14278.0,1,timed_out
JA06LU,hard,18,10129.0,14278.0,1,lost
JA06LU,hard,19,74979.0,14278.0,1,timed_out
JO03SA,easy,0,16091.0,24119.0,3,won
JO03SA,easy,1,35355.0,24119.0,3,won
JO03SA,easy,2,11901.0,24119.0,3,won
JO03SA,easy,3,23444.0,24119.0,3,won
JO03SA,easy,4,50042.0,24119.0,3,won
JO03SA,easy,5,50416.0,24119.0,3,won
JO03SA,easy,6,6636.0,24119.0,3,lost
JO03SA,easy,7,21347.0,24119.0,3,won
JO03SA,easy,8,49356.0,24119.0,3,won
JO03SA,easy,9,29051.0,24119.0,3,won
JO03SA,easy,10,26248.0,24119.0,3,won
JO03SA,easy,11,28003.0,24119.0,3,won
JO03SA,easy,12,24141.0,24119.0,3,won
JO03SA,easy,13,16093.0,24119.0,3,won
JO03SA,easy,14,26243.0,24119.0,3,won
JO03SA,easy,15,35353.0,24119.0,3,won
JO03SA,easy,16,26238.0,24119.0,3,won
JO03SA,easy,17,22399.0,24119.0,3,won
JO03SA,easy,18,24153.0,24119.0,3,won
JO03SA,easy,19,23800.0,24119.0,3,won
JO03SA,normal,0,43769.0,24119.0,3,won
JO03SA,normal,1,26599.0,24119.0,3,won
JO03SA,normal,2,25203.0,24119.0,3,won
JO03SA,normal,3,34661.0,24119.0,3,won
JO03SA,normal,4,69325.0,24119.0,3,won
JO03SA,normal,5,10491.0,24119.0,3,lost
JO03SA,normal,6,74971.0,24119.0,3,timed_out
JO03SA,normal,7,74969.0,24119.0,3,timed_out
JO03SA,normal,8,51127.0,24119.0,3,won
JO03SA,normal,9,32899.0,24119.0,3,won
JO03SA,normal,10,5328.0,24119.0,3,lost
JO03SA,normal,11,36419.0,24119.0,3,won
JO03SA,normal,12,54254.0,24119.0,3,won
JO03SA,normal,13,5602.0,24119.0,3,lost
JO03SA,normal,14,34291.0,24119.0,3,won
JO03SA,normal,15,46899.0,24119.0,3,won
JO03SA,normal,16,7680.0,24119.0,3,lost
JO03SA,normal,17,27653.0,24119.0,3,won
JO03SA,normal,18,37104.0,24119.0,3,won
JO03SA,normal,19,38856.0,24119.0,3,won
JO03SA,hard,0,65801.0,24119.0,3,won
JO03SA,hard,1,39599.0,24119.0,3,lost
